cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
51,2026-07-25T21:59:14.848644+00:00,28957.59,63909.33,49558.51,18109.25,589821.12,24021.47,12790.13,9435.39,44267.52,495321.19
52,2026-07-25T22:08:33.367308+00:00,28855.56,63678.42,49342.65,18056.58,587510.89,23915.86,12733.96,9394.1,44072.92,495321.19
53,2026-07-25T22:14:29.513319+00:00,28626.05,63251.83,48943.86,17959.26,583242.88,23720.76,12623.66,9317.82,43713.41,495321.19
54,2026-07-25T22:21:39.150829+00:00,27898.22,61899.02,47673.35,17647.15,569708.16,23098.52,12460.37,9075.94,42549.82,495321.19
55,2026-07-25T22:28:48.137065+00:00,28686.14,63363.53,48871.95,18080.21,584355.86,23666.04,12755.28,9337.79,43102.23,495321.19
56,2026-07-25T22:35:33.819835+00:00,28569.0,63146.36,48694.22,17999.87,582164.26,23581.89,12711.55,9298.97,43020.32,495321.19
57,2026-07-25T22:42:42.197259+00:00,28833.44,63643.2,49100.84,18123.99,587149.08,23774.42,12810.09,9387.8,43197.75,495321.19
58,2026-07-25T22:49:33.172763+00:00,28964.68,63889.79,49302.66,18198.15,589499.89,23866.46,12866.87,9431.89,43337.83,495321.19
59,2026-07-26T01:00:23.388114+00:00,28754.9,63495.63,48980.07,18079.61,585742.27,23687.29,12775.34,9361.41,43113.92,495321.19
60,2026-07-26T01:06:47.809123+00:00,28358.99,62751.78,48371.28,17855.89,578650.91,23349.17,12592.96,9228.41,42684.66,495321.19
61,2026-07-26T01:13:05.682468+00:00,28546.6,63104.26,48659.76,17959.52,582011.27,23509.39,12679.38,9291.44,42930.85,495321.19
62,2026-07-26T01:21:46.508075+00:00,28765.99,63516.46,48997.12,18102.49,585940.9,23696.78,12780.45,9365.14,43218.74,495321.19
63,2026-07-26T01:31:47.227063+00:00,28513.67,63042.4,48609.13,17938.06,581421.52,23481.27,12664.21,9280.38,42887.64,495321.19
64,2026-07-26T01:41:38.129065+00:00,28525.56,63064.74,48627.41,17945.81,581634.49,23491.42,12669.69,9284.37,42903.24,495321.19
65,2026-07-26T01:51:59.602700+00:00,28574.03,63155.81,48701.95,17977.4,582502.73,23532.83,12692.02,9300.66,42963.24,495321.19
66,2026-07-26T02:00:53.023782+00:00,28629.14,63259.35,48786.69,18013.31,583489.75,23579.9,12717.4,9319.17,43039.59,495321.19
67,2026-07-26T02:08:06.570238+00:00,28452.05,62926.62,48514.38,17880.03,580317.78,23428.63,12635.82,9259.67,42763.52,495321.19
68,2026-07-26T02:13:50.944716+00:00,28505.78,63027.58,48597.0,17880.03,581280.23,23474.53,12660.58,9277.73,42847.29,495321.19
69,2026-07-26T02:19:23.331840+00:00,28470.11,62960.56,48542.15,17880.03,580641.33,23444.06,12644.15,9265.74,42791.68,495321.19
70,2026-07-26T02:24:45.767773+00:00,28523.96,63061.73,48624.95,17880.03,581605.82,23490.06,12668.95,9283.83,42875.62,495321.19
71,2026-07-26T02:30:40.950984+00:00,28534.36,63081.28,48640.95,17880.03,581792.16,23498.94,12673.74,9287.33,42891.84,495321.19
72,2026-07-26T02:36:36.377140+00:00,28536.65,63085.57,48644.47,17880.03,581833.12,23500.9,12674.8,9288.1,42895.41,495321.19
