cycle,timestamp,AlphaBot,ShadowTrader,BearKing,CryptoGuru,GoldenWhale,DiamondHands,HappyTrader,LeverageKing,LiquidKiller,PoolMaster
51,2026-07-26T18:39:31.076578+00:00,41144.36,48171.27,41118.08,17595.89,499527.79,10497.27,11456.45,10515.35,49984.75,473381.21
52,2026-07-26T18:46:40.592921+00:00,40980.42,47979.33,41000.15,17587.83,497807.79,10471.15,11434.18,10485.47,49857.58,472767.68
53,2026-07-26T18:54:41.828780+00:00,40677.55,47614.95,40782.29,17572.93,494630.19,10422.89,11393.04,10430.26,49622.64,471625.03
54,2026-07-26T19:02:00.672128+00:00,39717.11,46471.18,40091.39,17525.7,484553.39,10269.85,11262.58,10255.17,48877.58,468024.28
55,2026-07-26T19:09:29.967093+00:00,40756.85,47688.84,40839.33,17576.83,495462.19,10435.53,11403.81,10444.71,49684.15,471882.36
56,2026-07-26T19:16:32.951746+00:00,40602.68,47500.6,40728.42,17569.25,493844.59,10410.96,11382.87,10416.61,49564.55,471295.33
57,2026-07-26T19:24:02.040100+00:00,40955.41,47911.93,40982.16,17586.6,497545.39,10467.17,11430.78,10480.91,49838.18,472600.77
58,2026-07-26T19:31:18.563413+00:00,41130.48,48122.72,41108.09,17595.21,499382.19,10495.06,11454.56,10512.82,49973.99,473261.66
59,2026-07-26T19:38:02.327402+00:00,40850.64,47794.81,40906.79,17581.44,496446.19,10450.47,11416.55,10461.81,49756.91,472223.41
60,2026-07-26T19:44:18.391493+00:00,40322.53,47176.47,40526.9,17555.47,490905.39,10366.32,11344.82,10365.54,49347.23,470265.0
61,2026-07-26T19:51:37.178271+00:00,40572.79,47480.99,40706.92,17567.78,493530.99,10406.2,11378.81,10411.16,49541.37,471214.67
62,2026-07-26T19:59:03.624641+00:00,40874.46,47822.94,40917.44,17582.17,496601.39,10452.83,11418.56,10464.51,49768.38,472297.7
63,2026-07-26T20:06:06.120802+00:00,40537.89,47432.68,40675.33,17565.62,493070.19,10399.2,11372.84,10403.15,49507.29,471058.41
64,2026-07-26T20:13:25.057927+00:00,40553.75,47443.05,40686.74,17566.4,493236.59,10401.73,11375.0,10406.04,49519.6,471101.97
65,2026-07-26T20:20:57.970178+00:00,40618.41,47495.76,40733.25,17569.58,493914.99,10412.03,11383.78,10417.83,49569.76,471299.05
66,2026-07-26T20:28:23.333540+00:00,40691.92,47580.95,40786.12,17573.19,494686.19,10423.74,11393.77,10431.23,49626.78,471569.4
67,2026-07-26T20:36:22.081992+00:00,40455.7,47296.77,40616.2,17561.58,492207.79,10386.1,11361.68,10388.17,49443.53,470682.31
68,2026-07-26T20:44:05.849876+00:00,40527.37,47379.8,40667.76,17565.1,492959.79,10397.52,11371.42,10401.23,49499.13,470945.71
69,2026-07-26T20:51:10.034171+00:00,40479.79,47323.27,40633.53,17562.76,492460.59,10389.94,11364.95,10392.56,49462.22,470768.42
70,2026-07-26T22:00:47.241404+00:00,40551.62,47412.54,40685.2,17566.29,493214.19,10401.39,11374.71,10405.66,49517.94,471042.96
71,2026-07-26T22:06:49.042667+00:00,40565.5,47431.81,40695.18,17566.98,493359.79,10403.6,11376.59,10408.18,49528.71,471099.53
72,2026-07-26T22:12:40.709211+00:00,40568.55,47424.07,40697.38,17567.13,493391.79,10404.08,11377.01,10408.74,49531.07,471091.29
